id	isolate	aliases	country	year	isolation date	disease	source	epidemiology	penner	aspA	glnA	gltA	glyA	pgm	tkt	uncA	ST	clonal complex
24053	OXC4579	ERR278432; SC_RUN_9471_3#15	UK	2009		gastroenteritis	human stool			1	4	2	2	6	3	17	61	ST-61 complex
24054	OXC4580	ERR278433; SC_RUN_9471_3#16	UK	2009		gastroenteritis	human stool			33	39	30	82	104	56	17	827	ST-828 complex
24055	OXC4581	ERR278434; SC_RUN_9471_3#17	UK	2009		gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24056	OXC4582	ERR278435; SC_RUN_9471_3#18	UK	2009		gastroenteritis	human stool			2	4	1	2	7	1	5	48	ST-48 complex
24057	OXC4584	ERR278436; SC_RUN_9471_3#19	UK	2009		gastroenteritis	human stool			2	1	42	3	148	1	5	861	ST-21 complex
24058	OXC4585	ERR278437; SC_RUN_9471_3#20	UK	2009		gastroenteritis	human stool			7	17	5	2	10	3	6	353	ST-353 complex
24059	OXC4587	ERR278438; SC_RUN_9471_3#21	UK	2009		gastroenteritis	human stool			9	2	4	62	4	133	6	990	ST-257 complex
24060	OXC4589	ERR278439; SC_RUN_9471_3#22	UK	2009		gastroenteritis	human stool			7	17	2	15	23	3	12	51	ST-443 complex
24061	OXC4590	ERR278440; SC_RUN_9471_3#23	UK	2009		gastroenteritis	human stool			2	1	12	3	2	1	5	50	ST-21 complex
24062	OXC4592	ERR278441; SC_RUN_9471_3#24	UK	2009		gastroenteritis	human stool			2	1	21	3	2	1	5	53	ST-21 complex
24063	OXC4593	ERR278442; SC_RUN_9471_3#25	UK	2009		gastroenteritis	human stool			9	2	4	62	4	5	6	257	ST-257 complex
24064	OXC4595	ERR278443; SC_RUN_9471_3#26	UK	2009		gastroenteritis	human stool			1	4	2	2	6	3	17	61	ST-61 complex
24065	OXC4596	ERR278444; SC_RUN_9471_3#27	UK	2009		gastroenteritis	human stool			8	10	2	2	11	12	6	354	ST-354 complex
24066	OXC4598	ERR278445; SC_RUN_9471_3#28	UK	2009		gastroenteritis	human stool			8	10	2	210	11	12	6	2033	ST-354 complex
24067	OXC4599	ERR278446; SC_RUN_9471_3#29	UK	2009		gastroenteritis	human stool			24	2	2	2	10	3	1	464	ST-464 complex
24068	OXC4600	ERR278447; SC_RUN_9471_3#30	UK	2009		gastroenteritis	human stool			2	1	12	3	2	1	5	50	ST-21 complex
24069	OXC4602	ERR278448; SC_RUN_9471_3#31	UK	2009		gastroenteritis	human stool			7	2	5	2	10	3	6	5	ST-353 complex
24070	OXC4603	ERR278449; SC_RUN_9471_3#32	UK	2009		gastroenteritis	human stool			2	4	1	2	7	1	5	48	ST-48 complex
24071	OXC4604	ERR278450; SC_RUN_9471_3#33	UK	2009		gastroenteritis	human stool			2	10	2	4	19	3	6	1044	ST-658 complex
24072	OXC4617	ERR278451; SC_RUN_9471_3#34	UK	2009		gastroenteritis	human stool			33	39	30	82	626	43	17	6233	ST-828 complex
24073	OXC4620	ERR278452; SC_RUN_9471_3#35	UK	2009		gastroenteritis	human stool			9	2	4	62	4	5	6	257	ST-257 complex
24074	OXC4621	ERR278453; SC_RUN_9471_3#36	UK	2009		gastroenteritis	human stool			24	2	2	2	10	3	1	464	ST-464 complex
24075	OXC4622	ERR278454; SC_RUN_9471_3#37	UK	2009		gastroenteritis	human stool			1	4	2	2	6	3	17	61	ST-61 complex
24076	OXC4623	ERR278455; SC_RUN_9471_3#38	UK	2009		gastroenteritis	human stool			24	2	2	2	10	3	1	464	ST-464 complex
24077	OXC4625	ERR278456; SC_RUN_9471_3#39	UK	2009		gastroenteritis	human stool			1	2	3	2	5	9	3	4016	ST-42 complex
24078	OXC4628	ERR278457; SC_RUN_9471_3#40	UK	2009		gastroenteritis	human stool			2	1	12	3	2	1	5	50	ST-21 complex
24079	OXC4629	ERR278458; SC_RUN_9471_3#41	UK	2009		gastroenteritis	human stool			2	4	1	2	7	1	5	48	ST-48 complex
24080	OXC4630	ERR278459; SC_RUN_9471_3#42	UK	2009		gastroenteritis	human stool			2	4	1	2	7	1	5	48	ST-48 complex
24081	OXC4631	ERR278460; SC_RUN_9471_3#43	UK	2009		gastroenteritis	human stool			7	17	2	15	23	3	12	51	ST-443 complex
24082	OXC4632	ERR278461; SC_RUN_9471_3#44	UK	2009		gastroenteritis	human stool			2	1	21	3	2	1	5	53	ST-21 complex
24083	OXC4633	ERR278462; SC_RUN_9471_3#45	UK	2009		gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24084	OXC4634	ERR278463; SC_RUN_9471_3#46	UK	2009		gastroenteritis	human stool			7	17	2	2	10	3	6	3515	ST-353 complex
24085	OXC4635	ERR278464; SC_RUN_9471_3#47	UK	2009		gastroenteritis	human stool			2	4	2	4	19	3	6	658	ST-658 complex
24086	OXC4636	ERR278465; SC_RUN_9471_3#48	UK	2009		gastroenteritis	human stool			2	1	21	3	2	1	5	53	ST-21 complex
24087	OXC4638	ERR278466; SC_RUN_9471_3#49	UK	2009		gastroenteritis	human stool			2	4	1	4	19	62	5	475	ST-48 complex
24088	OXC4639	ERR278467; SC_RUN_9471_3#50	UK	2009		gastroenteritis	human stool			2	4	1	4	19	62	5	475	ST-48 complex
24089	OXC4641	ERR278468; SC_RUN_9471_3#51	UK	2009		gastroenteritis	human stool			8	10	2	210	11	12	6	2033	ST-354 complex
24090	OXC4643	ERR278469; SC_RUN_9471_3#52	UK	2009		gastroenteritis	human stool			7	2	5	2	10	3	6	5	ST-353 complex
24091	OXC4645	ERR278470; SC_RUN_9471_3#53	UK	2009		gastroenteritis	human stool			7	21	5	62	4	61	44	436	
24092	OXC4646	ERR278471; SC_RUN_9471_3#54	UK	2009		gastroenteritis	human stool			9	25	2	10	23	3	6	775	ST-52 complex
24093	OXC4647	ERR278472; SC_RUN_9471_3#55	UK	2009		gastroenteritis	human stool			33	39	30	82	113	44	17	872	ST-828 complex
24094	OXC4649	ERR278473; SC_RUN_9471_3#56	UK	2009		gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24095	OXC4651	ERR278474; SC_RUN_9471_3#57	UK	2009		gastroenteritis	human stool			2	1	12	88	2	1	5	520	ST-21 complex
24096	OXC4653	ERR278475; SC_RUN_9471_3#58	UK	2009		gastroenteritis	human stool			7	21	5	62	4	61	44	436	
24097	OXC4655	ERR278476; SC_RUN_9471_3#59	UK	2009		gastroenteritis	human stool			8	10	2	2	11	12	6	354	ST-354 complex
24098	OXC4656	ERR278477; SC_RUN_9471_3#60	UK	2009		gastroenteritis	human stool			8	10	2	2	11	12	6	354	ST-354 complex
24099	OXC4657	ERR278478; SC_RUN_9471_3#61	UK	2009		gastroenteritis	human stool			9	2	4	62	4	5	6	257	ST-257 complex
24100	OXC4659	ERR278479; SC_RUN_9471_3#62	UK	2009		gastroenteritis	human stool			7,33	39,17	2,30	82,15	23,104	3,43	12,17	51, 828, 2124, 2592, 2609, 4408, 5076, 6131	ST-443 complex, ST-828 complex
24101	OXC4660	ERR278480; SC_RUN_9471_3#63	UK	2009		gastroenteritis	human stool			24	2	2	2	10	3	1	464	ST-464 complex
24102	OXC4661	ERR278481; SC_RUN_9471_3#64	UK	2009		gastroenteritis	human stool			7	17	2	15	23	3	12	51	ST-443 complex
24103	OXC4663	ERR278482; SC_RUN_9471_3#65	UK	2009		gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
